order_id,order_date,ship_date,customer_id,product_id,quantity,sales,discount,profit,order_month,shipping_days,profit_margin_pct,product_name,category_y,sub_category_y,unit_cost,list_price,customer_name,segment,region_y,city
NM202401461113,2024-01-27,2024-02-01,CU0049,PR522,1,41.69,0.0,19.67,January,5,47.18157831614297,File Cabinet,Office Supplies,Storage,22.02,41.69,Sam Bell,Corporate,Central,Dallas
NM202401729507,2024-01-29,2024-01-31,CU0229,PR507,4,170.76,0.0,91.36,January,2,53.50199109861794,LaserJet 100,Technology,Machines,19.85,42.69,Drew Bell,Corporate,Central,Chicago
NM202401472052,2024-01-08,2024-01-13,CU0108,PR501,1,728.04,0.3,14.63,January,5,2.009504972254272,Galaxy S,Technology,Phones,713.41,1040.06,Sam Dean,Consumer,East,New York
NM202401384236,2024-01-22,2024-01-27,CU0220,PR503,7,921.6,0.15,0.0,January,5,0.0,iView 11,Technology,Phones,98.09,154.89,Drew Dean,Consumer,Central,Dallas
NM202401487969,2024-01-04,2024-01-07,CU0213,PR501,2,2080.12,0.0,653.3,January,3,31.40684191296656,Galaxy S,Technology,Phones,713.41,1040.06,Drew Wood,Consumer,South,Atlanta
NM202401286944,2024-01-02,2024-01-06,CU0005,PR508,1,195.03,0.15,76.79,January,4,39.37342972875968,InkFlow 20,Technology,Machines,118.24,229.45,Jamie Fox,Home Office,East,New York
NM202401278618,2024-01-20,2024-01-25,CU0189,PR506,2,1046.08,0.2,389.52,January,5,37.23615784643622,Keyboard X,Technology,Accessories,328.28,653.8,Sam Fox,Corporate,East,New York
NM202401543265,2024-01-30,2024-01-31,CU0124,PR505,3,495.31,0.15,157.75,January,1,31.848741192384566,BT Mouse,Technology,Accessories,112.52,194.24,Alex Bell,Consumer,East,New York
NM202401161347,2024-01-09,2024-01-13,CU0011,PR523,7,303.63,0.15,33.08,January,4,10.89483911339459,Marker Set,Office Supplies,Art,38.65,51.03,Quinn Hunt,Consumer,West,Seattle
NM202401398136,2024-01-16,2024-01-18,CU0184,PR519,4,45.04,0.0,16.28,January,2,36.145648312611016,Cardstock,Office Supplies,Paper,7.19,11.26,Jamie Lee,Consumer,East,New York
NM202401671338,2024-01-11,2024-01-14,CU0034,PR506,2,1307.6,0.0,651.04,January,3,49.788926277148974,Keyboard X,Technology,Accessories,328.28,653.8,Quinn Bell,Corporate,East,New York
NM202401927887,2024-01-18,2024-01-20,CU0160,PR502,8,2537.6,0.0,1238.08,January,2,48.78940731399748,Pixel Mini,Technology,Phones,162.44,317.2,Quinn Fox,Home Office,South,Atlanta
NM202401361834,2024-01-27,2024-02-03,CU0023,PR509,1,529.98,0.2,193.77,January,7,36.561757047435755,Shredder S,Technology,Machines,336.21,662.47,Taylor Hunt,Corporate,Central,Chicago
NM202401529014,2024-01-12,2024-01-19,CU0051,PR524,4,338.04,0.0,74.28,January,7,21.973730919417818,Sketch Pad,Office Supplies,Art,65.94,84.51,Drew Ray,Consumer,South,Atlanta
NM202401299657,2024-01-17,2024-01-23,CU0095,PR524,4,338.04,0.0,74.28,January,6,21.973730919417818,Sketch Pad,Office Supplies,Art,65.94,84.51,Riley Fox,Consumer,South,Atlanta
NM202401259082,2024-01-25,2024-01-29,CU0129,PR514,8,1907.78,0.1,627.54,January,4,32.89372988499722,4-Shelf Case,Furniture,Bookcases,160.03,264.97,Quinn Roy,Home Office,South,Atlanta
NM202401117079,2024-01-09,2024-01-14,CU0074,PR506,8,4184.32,0.2,1558.08,January,5,37.23615784643622,Keyboard X,Technology,Accessories,328.28,653.8,Morgan Wood,Consumer,Central,Chicago
NM202401303427,2024-01-04,2024-01-10,CU0087,PR501,5,4160.24,0.2,593.19,January,6,14.258552391208202,Galaxy S,Technology,Phones,713.41,1040.06,Sam Roy,Corporate,South,Miami
NM202401103230,2024-01-18,2024-01-20,CU0117,PR524,7,532.41,0.1,70.83,January,2,13.30365695610526,Sketch Pad,Office Supplies,Art,65.94,84.51,Alex Hunt,Consumer,South,Atlanta
NM202401933514,2024-01-20,2024-01-24,CU0098,PR518,3,142.06,0.3,40.06,January,4,28.199352386315642,Copy Paper,Office Supplies,Paper,34.0,67.65,Sam Cruz,Home Office,Central,Dallas
NM202401616868,2024-01-14,2024-01-16,CU0080,PR524,4,338.04,0.0,74.28,January,2,21.973730919417818,Sketch Pad,Office Supplies,Art,65.94,84.51,Drew Bell,Corporate,South,Atlanta
NM202401695119,2024-01-24,2024-01-27,CU0098,PR514,8,1907.78,0.1,627.54,January,3,32.89372988499722,4-Shelf Case,Furniture,Bookcases,160.03,264.97,Sam Cruz,Home Office,Central,Dallas
NM202401955284,2024-01-10,2024-01-11,CU0220,PR513,6,1371.82,0.1,195.64,January,1,14.26134624076045,Meeting Table,Furniture,Tables,196.03,254.04,Drew Dean,Consumer,Central,Dallas
NM202401870835,2024-01-11,2024-01-18,CU0226,PR516,1,8.19,0.15,3.31,January,7,40.415140415140414,Ring Binder,Office Supplies,Binders,4.88,9.64,Quinn Ray,Consumer,East,Boston
NM202401651775,2024-01-29,2024-01-31,CU0048,PR506,2,915.32,0.3,258.76,January,2,28.26989468164139,Keyboard X,Technology,Accessories,328.28,653.8,Alex Dean,Corporate,West,Los Angeles
NM202401823645,2024-01-03,2024-01-09,CU0197,PR501,2,2080.12,0.0,653.3,January,6,31.40684191296656,Galaxy S,Technology,Phones,713.41,1040.06,Casey Fox,Corporate,West,Seattle
NM202401739206,2024-01-21,2024-01-23,CU0236,PR503,6,836.41,0.1,247.87,January,2,29.634987625685973,iView 11,Technology,Phones,98.09,154.89,Jamie Lee,Home Office,South,Miami
NM202401643445,2024-01-31,2024-02-01,CU0178,PR502,1,317.2,0.0,154.76,January,1,48.78940731399748,Pixel Mini,Technology,Phones,162.44,317.2,Drew Lee,Consumer,West,Los Angeles
NM202401935076,2024-01-13,2024-01-14,CU0195,PR524,1,67.61,0.2,1.67,January,1,2.4700488093477295,Sketch Pad,Office Supplies,Art,65.94,84.51,Riley Bell,Corporate,South,Miami
NM202401721757,2024-01-25,2024-02-01,CU0011,PR514,2,423.95,0.2,103.89,January,7,24.50524826040807,4-Shelf Case,Furniture,Bookcases,160.03,264.97,Quinn Hunt,Consumer,West,Seattle
NM202401888649,2024-01-02,2024-01-08,CU0091,PR505,1,155.39,0.2,42.87,January,6,27.58864791814145,BT Mouse,Technology,Accessories,112.52,194.24,Alex Ray,Home Office,West,Seattle
